monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.2662976Z level=info msg="Executing migration" id="Drop old table user_v1"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.266532424Z level=info msg="Migration successfully executed" id="Drop old table user_v1" duration=235.073µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.267829863Z level=info msg="Executing migration" id="Add column help_flags1 to user table"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.268345429Z level=info msg="Migration successfully executed" id="Add column help_flags1 to user table" duration=515.59µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.269743356Z level=info msg="Executing migration" id="Update user table charset"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.269756286Z level=info msg="Migration successfully executed" id="Update user table charset" duration=13.638µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.271130725Z level=info msg="Executing migration" id="Add last_seen_at column to user"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.271597049Z level=info msg="Migration successfully executed" id="Add last_seen_at column to user" duration=465.993µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.272860203Z level=info msg="Executing migration" id="Add missing user data"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.272959951Z level=info msg="Migration successfully executed" id="Add missing user data" duration=96.005µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.274326329Z level=info msg="Executing migration" id="Add is_disabled column to user"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.274797161Z level=info msg="Migration successfully executed" id="Add is_disabled column to user" duration=470.545µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.27611896Z level=info msg="Executing migration" id="Add index user.login/user.email"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.276409802Z level=info msg="Migration successfully executed" id="Add index user.login/user.email" duration=290.702µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.277816255Z level=info msg="Executing migration" id="Add is_service_account column to user"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.278395455Z level=info msg="Migration successfully executed" id="Add is_service_account column to user" duration=578.644µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.279743463Z level=info msg="Executing migration" id="Update is_service_account column to nullable"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.283295536Z level=info msg="Migration successfully executed" id="Update is_service_account column to nullable" duration=3.550151ms
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.28490044Z level=info msg="Executing migration" id="Add uid column to user"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.285553658Z level=info msg="Migration successfully executed" id="Add uid column to user" duration=653.081µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.287019314Z level=info msg="Executing migration" id="Update uid column values for users"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.287146432Z level=info msg="Migration successfully executed" id="Update uid column values for users" duration=127.231µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.288515505Z level=info msg="Executing migration" id="Add unique index user_uid"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.288843421Z level=info msg="Migration successfully executed" id="Add unique index user_uid" duration=327.653µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.290154165Z level=info msg="Executing migration" id="update login field with orgid to allow for multiple service accounts with same name across orgs"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.290305364Z level=info msg="Migration successfully executed" id="update login field with orgid to allow for multiple service accounts with same name across orgs" duration=151.178µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.29169097Z level=info msg="Executing migration" id="update service accounts login field orgid to appear only once"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.291956635Z level=info msg="Migration successfully executed" id="update service accounts login field orgid to appear only once" duration=265.359µs
